Genre,Title,GoogleMapsLink,ID
agritourism,Sungai Panjang Agro Tourism,http://www.google.com/maps/place/Sungai+Panjang+Agro+Tourism/data=!4m7!3m6!1s0x31cb61d962db3a1d:0x2f3998a7faacfac9!8m2!3d3.7149628!4d101.0352978!16s%2Fg%2F11vcmd159p!19sChIJHTrbYtlhyzERyfqs-qeYOS8?authuser=0&hl=en&rclk=1,222
agritourism,Perak Agrotourism Resort,http://www.google.com/maps/place/Perak+Agrotourism+Resort/data=!4m10!3m9!1s0x31cb1ec2203a017b:0x3e1976e4b9b938b2!5m2!4m1!1i2!8m2!3d4.2546598!4d101.0427618!16s%2Fg%2F11cn8sc5fl!19sChIJewE6IMIeyzERsji5ueR2GT4?authuser=0&hl=en&rclk=1,110
agritourism,Mentari Bee Eco Tourism Farm,http://www.google.com/maps/place/Mentari+Bee+Eco+Tourism+Farm/data=!4m7!3m6!1s0x31cc674a213e45d3:0xfd1ad8a354a0ab14!8m2!3d3.3741459!4d101.4520052!16s%2Fg%2F11lm91d705!19sChIJ00U-IUpnzDERFKugVKPYGv0?authuser=0&hl=en&rclk=1,352
agritourism,UK Farm,http://www.google.com/maps/place/UK+Farm/data=!4m10!3m9!1s0x31d069acfbe1686d:0xba64a878de3f2713!5m2!4m1!1i2!8m2!3d2.0181272!4d103.2187406!16s%2Fg%2F1tg7pj2x!19sChIJbWjh-6xp0DEREyc_3nioZLo?authuser=0&hl=en&rclk=1,97
agritourism,Napoh Eco Farm,http://www.google.com/maps/place/Napoh+Eco+Farm/data=!4m7!3m6!1s0x304ca890a3e9d8df:0x8f8828282c353aff!8m2!3d6.3587968!4d100.4512894!16s%2Fg%2F11dzl7xy93!19sChIJ39jpo5CoTDAR_zo1LCgoiI8?authuser=0&hl=en&rclk=1,812
agritourism,Balung River Plantation (AgriTourism) Resort,http://www.google.com/maps/place/Balung+River+Plantation+%28AgriTourism%29+Resort/data=!4m7!3m6!1s0x323b69cc7cc26ec1:0x98f02ee6feabca82!8m2!3d5.9861039!4d116.07674!16s%2Fg%2F1pzsd9vkl!19sChIJwW7CfMxpOzIRgsqr_uYu8Jg?authuser=0&hl=en&rclk=1,794
agritourism,Valleyhill Eco Farm,http://www.google.com/maps/place/Valleyhill+Eco+Farm/data=!4m7!3m6!1s0x31cc1fd60a9cba23:0x31485358fcdc14fc!8m2!3d3.3826522!4d102.0261655!16s%2Fg%2F11sltwzhws!19sChIJI7qcCtYfzDER_BTc_FhTSDE?authuser=0&hl=en&rclk=1,286
agritourism,MAEPS Serdang,http://www.google.com/maps/place/MAEPS+Serdang/data=!4m7!3m6!1s0x31cc4b3725e5c50b:0x7eccde966fce5ad6!8m2!3d2.9796777!4d101.6980176!16s%2Fm%2F04jd7v2!19sChIJC8XlJTdLzDER1lrOb5bezH4?authuser=0&hl=en&rclk=1,615
agritourism,Saudagar Nanas Agrofarm,http://www.google.com/maps/place/Saudagar+Nanas+Agrofarm/data=!4m7!3m6!1s0x31cdc98a14fd29c5:0x36590d06b3af67df!8m2!3d2.9367313!4d101.7444361!16s%2Fg%2F11rjvqyy1g!19sChIJxSn9FIrJzTER32evswYNWTY?authuser=0&hl=en&rclk=1,473
agritourism,Utama Farm,http://www.google.com/maps/place/Utama+Farm/data=!4m7!3m6!1s0x31cc49489de4a8fd:0xc4daaf4bcf3d0c50!8m2!3d3.1449836!4d101.6181308!16s%2Fg%2F11tgd2ts97!19sChIJ_ajknUhJzDERUAw9z0uv2sQ?authuser=0&hl=en&rclk=1,1036
