Rating,Reviews,ID,userID
3,1,222,222
4.2,254,110,110
5,1,352,352
3.9,1367,97,97
4.6,25,812,812
2.6,4.2,794,794
3.5,4.2,286,286
4.2,3634,615,615
4,718,473,473
4.7,65,1036,1036
4.3,6720,996,996
3.8,7044,989,989
4.2,1462,261,261
5,10,616,616
3.9,16,1028,1028
4,2825,1000,1000
3.3,4.2,398,398
3.6,366,427,427
4.4,10529,1058,1058
4.2,3202,1019,1019
4.5,5695,600,600
3.9,17,45,45
4.7,2081,895,895
4.4,6637,552,552
3.8,1864,1008,1008
4.6,1335,255,255
3.4,438,322,322
3.4,2599,512,512
3.5,5719,313,313
4.4,9326,496,496
3.6,912,726,726
3.8,1243,482,482
4.2,289,940,940
4.1,9233,385,385
4.1,290,10,10
3.8,4.2,404,404
3.7,596,649,649
4.1,280,550,550
4.1,186,878,878
4.3,1701,579,579
4.5,755,1032,1032
4.1,1996,245,245
4.1,3230,999,999
4.3,1444,460,460
4.8,2009,271,271
4,5741,513,513
3.4,64,1013,1013
4.5,18897,681,681
3.9,8377,168,168
4.4,272,446,446
4.6,904,995,995
4.3,2666,430,430
4.3,308,849,849
3.7,11,907,907
4,4.2,494,494
3,2,825,825
4.6,2442,648,648
4.7,158,3,3
4.3,883,288,288
4.3,662,282,282
4.1,2632,970,970
3.4,1651,1011,1011
3,4,277,277
3.5,20,745,745
4.1,4971,643,643
4.6,50,280,280
3.9,51,1,1
4.7,1510,910,910
4.1,4.2,918,918
4.2,643,244,244
4.8,2618,631,631
4.5,7384,32,32
4.2,146,619,619
4.1,101,843,843
4,276,635,635
4.2,53,596,596
4.3,4.2,439,439
3.5,52,793,793
3.9,41,1016,1016
3.8,1498,905,905
4.3,29,492,492
4.5,11,795,795
4.3,2375,147,147
4.4,3994,851,851
4.1,679,566,566
4.3,48,28,28
3.5,6,629,629
3.9,4.2,1022,1022
3.9,7,700,700
4.7,203,592,592
4.3,513,587,587
3.9,38,346,346
4.4,102,621,621
4.7,666,805,805
4.5,4021,1066,1066
4.3,104,859,859
4.3,448,204,204
4.2,312,645,645
4.3,7234,618,618
4.3,11837,210,210
4.5,248,923,923
4.4,254,1039,1039
4.1,19,871,871
5,1,733,733
3.8,2861,803,803
4.2,25,519,519
4.4,435,382,382
4.8,10,595,595
4.1,19,39,39
4,227,50,50
3.7,52,676,676
4.5,4,735,735
4.5,45079,515,515
4.6,530,138,138
4.5,86,1067,1067
4.9,7,329,329
4.5,118,569,569
4.5,11,927,927
4,290,687,687
4.7,599,749,749
4.4,917,112,112
4.8,26,1064,1064
4.6,165,958,958
4.5,3710,338,338
4.6,394,17,17
4.4,1717,1026,1026
4.4,59937,397,397
4.4,481,746,746
4.4,169,224,224
4.3,73,753,753
4.7,912,250,250
4.4,113,605,605
4.3,2586,967,967
3.7,4.2,399,399
5,7,855,855
4.4,308,217,217
5,1,232,232
3.6,366,483,483
4.3,752,42,42
3.3,40,188,188
4.7,844,1065,1065
3.7,6,1044,1044
4.1,226,820,820
4,12,634,634
4.9,9,230,230
4.3,1411,938,938
3.6,36,173,173
4,189,969,969
5,1,179,179
4.2,4.2,719,719
3.9,51,194,194
4.1,9233,816,816
4.5,5695,980,980
4.4,62960,544,544
4,3014,1009,1009
4.4,291,956,956
4,155,689,689
3.9,1141,318,318
4.6,37,185,185
4.1,1996,459,459
4.4,6637,842,842
